Bug No,Summary,Platform,Status,Priority,Due Date,Resolved,Resolution,Created,Labels,Description
1,Unable to login,Android-app,To Do,3,13/04/2021,,,23/04/21 17:02,backend,This is the description of my issues. Instructions to use this csv will come here.
2,Login validation not working,Android-app,Done,3,13/04/2021,14/04/2021,Done,20/04/21 15:25,UI,This is the description of my issues. Instructions to use this csv will come here.
3,This is a sub task,IOS-app,To Do,3,13/04/2021,,,13/04/21 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
4,This is a sub task,Android-app,In Progress,3,13/04/2021,,,13/04/21 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
5,This is a sub task,Android-app,To Do,3,13/04/2021,,,13/04/21 15:46,UI,This is the description of my issues. Instructions to use this csv will come here.
6,Another bug in the code,Android-app,In Progress,3,13/04/2021,,,13/04/21 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
7,This is a sub task,IOS-app,To Do,3,13/04/2021,,,13/04/21 15:40,backend,This is the description of my issues. Instructions to use this csv will come here.
8,One more bug,Android-app,Done,3,13/04/2021,15/04/2021,Done,13/04/21 15:40,UI,This is the description of my issues. Instructions to use this csv will come here.
9,Sub task second,Android-app,Done,3,14/04/2021,17/04/2021,Done,13/04/21 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
10,Sub task third,IOS-app,To Do,3,14/04/2021,,,13/04/21 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
11,Sub task third,IOS-app,In Progress,3,14/04/2021,,,13/04/21 15:39,UI,This is the description of my issues. Instructions to use this csv will come here.
12,Sub task fourth,IOS-app,To Do,3,14/04/2021,,,13/04/21 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
13,Too many bugs,IOS-app,To Do,3,14/04/2021,,,6/5/2021 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
14,Bugs are annoying,IOS-app,In Progress,1,14/04/2021,,,16/05/21 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
15,Great task,Android-app,To Do,2,14/04/2021,,,11/5/2021 16:57,backend,This is the description of my issues. Instructions to use this csv will come here.
16,So many tasks,Android-app,To Do,2,14/04/2021,,,12/5/2021 16:57,backend,This is the description of my issues. Instructions to use this csv will come here.
17,Launch Android app,Android-app,Done,2,14/04/2021,14/04/2021,Done,12/5/2021 16:57,backend,This is the description of my issues. Instructions to use this csv will come here.
18,Launch iOS app,IOS-app,Done,1,15/04/2021,14/04/2021,Done,15/05/21 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
19,As a user this is my story,Android-app,In Progress,1,15/04/2021,,Done,12/5/2021 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
20,As a user this another story,Android-app,Done,1,15/04/2021,18/04/2021,Done,20/05/21 16:57,backend,This is the description of my issues. Instructions to use this csv will come here.
21,Bug are endless,IOS-app,Done,1,15/04/2021,18/04/2021,Done,23/05/21 16:57,backend,This is the description of my issues. Instructions to use this csv will come here.
22,A new task,Android-app,Done,2,15/04/2021,18/04/2021,Done,22/05/21 16:57,backend,This is the description of my issues. Instructions to use this csv will come here.
23,A bug,Android-app,In Progress,3,15/04/2021,,,20/05/21 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
24,overviewscreen keeps loading,Android-app,To Do,1,15/04/2021,,,20/05/21 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
